;Ticker;Strength;Average_High;Average_Low;Average_Volatility;Trend;Actual_High;Actual_Low;Previous_Close
0;FOUR;4.484554658072226;3.1762688059887543;-3.184349631422941;3.3018780395875758;3.0405562349890363;1.6600399272237443;-1.017071238333489;85.54000091552734
1;CWBR;4.615381116697648;6.004838405116907;-5.412903524214214;5.387096443483901;2.9492418845605153;4.91802798135097;-0.8196713302251579;1.2200000286102295
2;BITF;-5.64202609041482;6.2530390245918825;-4.982319940739133;5.790424083477881;-1.3757371791895785;3.763441595309147;-4.121864197459124;5.579999923706055
3;AXL;6.518282421932509;3.251701039251556;-3.502266963863589;4.158729760825228;1.142318471610752;1.4857155936104816;-0.9142848423549066;8.75
4;YELP;2.3356166638840103;2.379516133525819;-2.195997166267954;2.463478641693458;2.3911101015131555;1.71562211195595;-1.4296933566558367;38.470001220703125
5;ISCB;1.2351469374787372;0.6502333463812502;-0.6117474579550907;1.2126371371505902;3.6182344188462086;1.0802702625554383;0.5090439750900844;56.93000030517578
6;USPH;1.658196218367125;2.1852541505356076;-2.005509989642506;2.0574812864000194;1.9858269747666886;1.6504649513404024;-0.27209624921554765;112.08999633789062
7;GPI;2.02124932321891;2.544550976884095;-2.381770771925678;2.7164974030599187;1.511748162861245;1.5706211241784729;-0.6040836296710039;165.5399932861328
8;SUM;1.432747988297911;2.2361020382700394;-2.0646093295540666;2.270840339581431;2.0507557302457857;4.657370920984039;-0.02965980956614045;33.709999084472656
9;BKSC;0.6309862454708215;2.9097318896897297;-1.9449600482816924;1.8673350422985697;4.417242925478614;2.3809523809523725;0.0;21.0
10;ASR;0.9247597975896582;1.5928605238695208;-1.830634642666578;1.9400491360029752;2.879133620019003;0.5019454074236984;-1.1618056437641133;177.30999755859375
11;SFE;0.8233056502032543;2.2107279011420675;-1.9220946544583886;1.9374201885432876;2.9992517086238553;1.5325656031716095;-3.448275652073296;7.829999923706055
12;EPWR;0.21448156072977342;0.28331682406281994;-0.6009214122073314;0.4513824486317628;2.175344096074648;0.0;-0.20471296649509085;9.770000457763672
13;IBTB;0.01966301657795322;0.033628816441361155;-0.022772531968983677;0.010658346680647737;3.691645955498161;0.0;0.0;25.424999237060547
14;CIVB;0.02130898169774298;1.7789775798340728;-1.5418516057814942;1.5349755608313935;1.2452194394785752;0.8989686600418878;-1.155823847213544;23.360000610351562
15;NRT;3.4282339886020474;2.1906552880772754;-1.3014166662875835;2.1403672018843602;3.4501628403360134;-0.7879631545606114;-2.292261417978436;6.980000019073486
16;CWBR;3.0769195218056766;5.917459915554713;-5.295238419184606;5.309523476494683;3.3443696829677565;1.9841251069335764;-5.555550299414003;1.2599999904632568
17;AXL;6.200317396156773;3.2440681241999925;-3.4497169451525;4.136722801768847;1.2345251557250707;0.5668956061779085;-2.8117931240295713;8.819999694824219
18;ISCB;0.7077811683991797;0.6532204450243702;-0.5972192147433316;1.2142874462802762;4.072342602732104;-0.4629685474754175;-1.1006307645728741;57.2400016784668
19;BKSC;0.6309862454708215;2.9161983907692126;-1.9366741846429558;1.863187321602794;4.427076338194472;1.666668483189171;-0.011907305036273907;21.0
20;QEMM;0.09503685551375263;0.4397025184269808;-0.32397913967812303;0.8364872406957163;2.7564489680180047;-0.7317429922455543;-0.7317429922455543;68.33000183105469
21;CM;-6.62993232074216;0.808265577943327;-0.5509319507157517;0.8540208080918529;-3.5273134714408574;0.5140053601184524;-1.0108800404704965;116.7300033569336
22;ARGO;-2.5755240628801523;1.5569837458112898;-1.4170577382941343;1.5728531906418874;-2.3577640135660025;2.5674921257506256;0.5285987782598811;52.970001220703125
23;USPH;1.3862187076854715;2.165293273921878;-1.9485464930203915;2.0475995752735074;2.1359963162637885;4.604088391557348;0.4092518489572594;112.4000015258789
24;BEDZ;-1.5018076317396378;0.9467684320236691;-0.8115516603117925;1.1564671758414613;-1.4678920860940001;2.942407872174213;1.810718071436912;23.857999801635742
25;IBTB;0.01966301657795322;0.03248828581200779;-0.02257585786745262;0.01006840018513397;3.907953765485625;0.0;-0.002753183753190225;25.424999237060547
